# This is a continuation of trace file C:\Users\Asus\AppData\Local\1C\1cedtstart\projects\Training Development Management\.metadata\trace.log.bak_7
# version: 1.1
# verbose: true
# Time of creation: 2025-06-04 15:32:03.007
| pool-313-thread-2 | 2025-06-04 15:32:18.051 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Adding configuration to update list to fix UUID changing issue for all projects without support information: bm://TrainingAndDevelopmentManagement/Configuration#/ |
| pool-313-thread-2 | 2025-06-04 15:32:18.051 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/RedRightArrow/RedRightArrow.mdo, originally changed objects=[com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@f70cbd67, com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@c799702f, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@368c68d2], resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/CommonPicture.RedRightArrow#/, bm://TrainingAndDevelopmentManagement/Configuration#/] |
| pool-313-thread-4 | 2025-06-04 15:32:18.203 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | File has been saved (L/TrainingAndDevelopmentManagement/src/CommonPictures/ReportOptionPurposes/ReportOptionPurposes.mdo) with a list of changed objects, going to determine list of what to update on infobase side: objects=[com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@6b8d9358, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@1cb4953a, com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@9d51f4bc] |
| pool-313-thread-4 | 2025-06-04 15:32:18.204 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/ReportOptionPurposes/ReportOptionPurposes.mdo, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@6b8d9358, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@9d51f4bc |
| pool-313-thread-4 | 2025-06-04 15:32:18.204 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/ReportOptionPurposes/ReportOptionPurposes.mdo, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@1cb4953a, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@9d51f4bc |
| pool-313-thread-4 | 2025-06-04 15:32:18.205 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/ReportOptionPurposes/ReportOptionPurposes.mdo, changed object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@9d51f4bc, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@9d51f4bc |
| pool-313-thread-4 | 2025-06-04 15:32:18.205 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/ReportOptionPurposes/ReportOptionPurposes.mdo, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@9d51f4bc, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/CommonPicture.ReportOptionPurposes#/] |
| pool-313-thread-4 | 2025-06-04 15:32:18.205 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Adding configuration to update list to fix UUID changing issue for all projects without support information: bm://TrainingAndDevelopmentManagement/Configuration#/ |
| pool-313-thread-4 | 2025-06-04 15:32:18.205 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/ReportOptionPurposes/ReportOptionPurposes.mdo, originally changed objects=[com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@6b8d9358, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@1cb4953a, com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@9d51f4bc], resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/Configuration#/, bm://TrainingAndDevelopmentManagement/CommonPicture.ReportOptionPurposes#/] |
| pool-313-thread-6 | 2025-06-04 15:32:18.290 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | File has been saved (L/TrainingAndDevelopmentManagement/src/CommonPictures/RepeatAtTopofPage/RepeatAtTopofPage.mdo) with a list of changed objects, going to determine list of what to update on infobase side: objects=[com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@23560fde, com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@71a12ee, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@6635caf3] |
| pool-313-thread-6 | 2025-06-04 15:32:18.291 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/RepeatAtTopofPage/RepeatAtTopofPage.mdo, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@23560fde, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@71a12ee |
| pool-313-thread-6 | 2025-06-04 15:32:18.292 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/RepeatAtTopofPage/RepeatAtTopofPage.mdo, changed object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@71a12ee, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@71a12ee |
| pool-313-thread-6 | 2025-06-04 15:32:18.293 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/RepeatAtTopofPage/RepeatAtTopofPage.mdo, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@6635caf3, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@71a12ee |
| pool-313-thread-6 | 2025-06-04 15:32:18.293 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/RepeatAtTopofPage/RepeatAtTopofPage.mdo, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@71a12ee, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/CommonPicture.RepeatAtTopofPage#/] |
| pool-313-thread-6 | 2025-06-04 15:32:18.294 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Adding configuration to update list to fix UUID changing issue for all projects without support information: bm://TrainingAndDevelopmentManagement/Configuration#/ |
| pool-313-thread-6 | 2025-06-04 15:32:18.295 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/RepeatAtTopofPage/RepeatAtTopofPage.mdo, originally changed objects=[com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@23560fde, com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@71a12ee, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@6635caf3], resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/CommonPicture.RepeatAtTopofPage#/, bm://TrainingAndDevelopmentManagement/Configuration#/] |
| pool-313-thread-5 | 2025-06-04 15:32:18.295 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | File has been saved (L/TrainingAndDevelopmentManagement/src/CommonPictures/QuickReportSettings/QuickReportSettings.mdo) with a list of changed objects, going to determine list of what to update on infobase side: objects=[com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@ebd788f7, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@7f34179b, com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@df0df860] |
| pool-313-thread-3 | 2025-06-04 15:32:18.295 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | File has been saved (L/TrainingAndDevelopmentManagement/src/CommonPictures/RepeatAtEndPage/RepeatAtEndPage.mdo) with a list of changed objects, going to determine list of what to update on infobase side: objects=[com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@a6485094, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@7a7e5723, com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@aaaf7bf3] |
| pool-313-thread-1 | 2025-06-04 15:32:18.296 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | File has been saved (L/TrainingAndDevelopmentManagement/src/CommonPictures/Reports/Reports.mdo) with a list of changed objects, going to determine list of what to update on infobase side: objects=[com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@76b7a815, com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@d293d5f8, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@bdb9dd4c] |
| pool-313-thread-5 | 2025-06-04 15:32:18.296 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/QuickReportSettings/QuickReportSettings.mdo, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@ebd788f7, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@df0df860 |
| pool-313-thread-1 | 2025-06-04 15:32:18.298 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/Reports/Reports.mdo, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@76b7a815, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@d293d5f8 |
| pool-313-thread-3 | 2025-06-04 15:32:18.298 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/RepeatAtEndPage/RepeatAtEndPage.mdo, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@a6485094, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@aaaf7bf3 |
| pool-313-thread-1 | 2025-06-04 15:32:18.299 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/Reports/Reports.mdo, changed object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@d293d5f8, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@d293d5f8 |
| pool-313-thread-5 | 2025-06-04 15:32:18.299 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/QuickReportSettings/QuickReportSettings.mdo, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@7f34179b, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@df0df860 |
| pool-313-thread-1 | 2025-06-04 15:32:18.300 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/Reports/Reports.mdo, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@bdb9dd4c, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@d293d5f8 |
| pool-313-thread-3 | 2025-06-04 15:32:18.300 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/RepeatAtEndPage/RepeatAtEndPage.mdo, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@7a7e5723, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@aaaf7bf3 |
