# This is a continuation of trace file C:\Users\Asus\AppData\Local\1C\1cedtstart\projects\TDM\.metadata\trace.log.bak_4
# version: 1.1
# verbose: true
# Time of creation: 2026-03-18 13:56:24.513
| Worker-9: Activate project context | 2026-03-18 13:56:24.525 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/SettingsStorages/ReportsVariantsStorage/Forms/QuickReportSettings/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/SettingsStorage.ReportsVariantsStorage#/forms:QuickReportSettings] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.525 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/TrainingAndDevelopmentManagement/src/CommonForms/FilesInVolume/Form.form |
| Worker-9: Activate project context | 2026-03-18 13:56:24.526 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/CommonForms/FilesInVolume/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonFormImpl@90a50991, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/CommonForm.FilesInVolume#/] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.526 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/CommonForms/FilesInVolume/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/CommonForm.FilesInVolume#/] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.526 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/TrainingAndDevelopmentManagement/src/InformationRegisters/FilesInWorkingDirectory/Forms/ListForm/Form.form |
| Worker-9: Activate project context | 2026-03-18 13:56:24.527 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/InformationRegisters/FilesInWorkingDirectory/Forms/ListForm/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.InformationRegisterFormImpl@58beb1d0, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/InformationRegister.FilesInWorkingDirectory#/forms:ListForm] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.527 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/InformationRegisters/FilesInWorkingDirectory/Forms/ListForm/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/InformationRegister.FilesInWorkingDirectory#/forms:ListForm] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.527 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/TrainingAndDevelopmentManagement/src/InformationRegisters/FileRepository/Forms/ListForm/Form.form |
| Worker-9: Activate project context | 2026-03-18 13:56:24.527 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/InformationRegisters/FileRepository/Forms/ListForm/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.InformationRegisterFormImpl@af06cf64, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/InformationRegister.FileRepository#/forms:ListForm] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.527 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/InformationRegisters/FileRepository/Forms/ListForm/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/InformationRegister.FileRepository#/forms:ListForm] |
